name;check
[.ursaColorTable;1
[.ursaRaster;1
[[.ursaRaster;1
[<-.ursaRaster;1
aggregate.ursaRaster;1
allocate;1
as.array.ursaRaster;1
as.data.frame.ursaRaster;1
as.integer.ursaRaster;1
as.list.ursaRaster;1
as.matrix.ursaRaster;1
as.Raster;1
as.Raster.list;1
as.raster.ursaRaster;1
as.Raster.ursaRaster;1
as.Raster.ursaStack;1
as.table.ursaRaster;1
as.ursa;1
as_ursa;1
band_blank;1
band_max;1
band_mean;1
band_min;1
band_n;1
band_nNA;1
band_sd;1
band_stat;1
band_sum;1
bandname;1
bandname<-;1
c.ursaRaster;1
chunk_band;1
chunk_expand;1
chunk_line;1
close.ursaProgressBar;1
close.ursaRaster;1
close_envi;1
colorize;1
Complex.ursaRaster;1
compose_close;1
compose_coastline;1
compose_design;1
compose_graticule;1
compose_legend;1
compose_open;1
compose_panel;1
compose_plot;1
compress;1
coord_cr;1
coord_xy;1
create_envi;1
create_gdal;1
cubehelix;1
decompress;1
dim.ursaGrid;1
dim.ursaRaster;1
dim<-.ursaRaster;1
discolor;1
display;1
display_brick;1
display_rgb;1
display_stack;1
envi_copy;1
envi_exists;1
envi_list;1
envi_remove;1
envi_rename;1
focal_extrem;1
focal_max;1
focal_mean;1
focal_median;1
focal_min;1
focal_special;1
get_earthdata;1
glance;1
global_max;1
global_mean;1
global_median;1
global_min;1
global_n;1
global_range;1
global_sd;1
global_sum;1
head.ursaRaster;1
hist.ursaRaster;1
histogram;1
ignorevalue;1
ignorevalue<-;1
image.ursaRaster;1
is.infinite.ursaRaster;1
is.na.ursaRaster;1
is.na<-.ursaRaster;1
is.nan.ursaRaster;1
is.ursa;1
is_ursa;1
legend_align;1
legend_colorbar;1
legend_mtext;1
length.ursaRaster;1
local_all;1
local_any;1
local_length;1
local_max;1
local_mean;1
local_median;1
local_min;1
local_sd;1
local_stat;1
local_sum;1
local_var;1
Math.ursaRaster;1
mean.ursaRaster;1
median.ursaRaster;1
na.omit.ursaRaster;1
names.ursaRaster;1
names<-.ursaRaster;1
nband;1
open_envi;1
open_gdal;1
Ops.ursaRaster;1
panel_abline;1
panel_annotation;1
panel_box;1
panel_coastline;1
panel_contour;1
panel_decor;1
panel_graticule;1
panel_lines;1
panel_new;1
panel_plot;1
panel_points;1
panel_polygon;1
panel_raster;1
panel_scalebar;1
panel_segments;1
panel_shading;1
panel_text;1
pixelsize;1
plot.ursaRaster;1
polygonize;1
print.ursaCategory;1
print.ursaColorTable;1
print.ursaConnection;1
print.ursaGrid;1
print.ursaNumeric;1
print.ursaRaster;1
read_envi;1
read_gdal;1
reclass;1
regrid;1
rep.ursaRaster;1
seek.ursaConnection;1
seq.ursaGrid;1
seq.ursaRaster;1
series;1
session_cellsize;1
session_grid;1
session_pngviewer;1
session_proj4;1
session_tempdir;1
setUrsaProgressBar;1
str.ursaGrid;1
str.ursaRaster;1
summary.ursaCategory;1
summary.ursaNumeric;1
summary.ursaRaster;1
Summary.ursaRaster;1
tail.ursaRaster;1
temporal_interpolate;1
temporal_mean;1
unlist.ursaStack;1
ursa;1
ursa_apply;1
ursa_bbox;1
ursa_blank;1
ursa_brick;1
ursa_colortable;1
ursa_colortable<-;1
ursa_columns;1
ursa_crop;1
ursa_dummy;1
ursa_extent;1
ursa_grid;1
ursa_grid<-;1
ursa_hist;1
ursa_info;1
ursa_lines;1
ursa_ncol;1
ursa_new;1
ursa_nodata;1
ursa_nodata<-;1
ursa_nrow;1
ursa_proj;1
ursa_proj<-;1
ursa_proj4;1
ursa_proj4<-;1
ursa_read;1
ursa_rows;1
ursa_samples;1
ursa_seqc;1
ursa_seqr;1
ursa_seqx;1
ursa_seqy;1
ursa_stack;1
ursa_value;1
ursa_value<-;1
ursa_write;1
ursa<-;1
ursaProgressBar;1
value_cr;1
value_ll;1
value_xy;1
write_envi;1
write_gdal;1
zonal_stat;1
